yourlist:M201907185C475328CEF75220C360D524E9D456CE29FB3CW	Entry	Gene names	Protein names	EC number	Function [CC]	Pathway	Keywords	Protein existence	Gene ontology (GO)	Protein families	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)	Cross-reference (BioCyc)	Cross-reference (BRENDA)	Cross-reference (CDD)	Cross-reference (eggNOG)	Ensembl transcript	Cross-reference (InterPro)	Cross-reference (KEGG)	Cross-reference (KO)	Cross-reference (Pfam)	Cross-reference (Reactome)	Cross-reference (RefSeq)	Cross-reference (UniPathway)	Organism	Organism ID
A0A090JXV9	A0A090JXV9	pyrG DSM1535_2078	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	6.3.4.2	FUNCTION: Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen. Regulates intracellular CTP levels through interactions with the four ribonucleotide triphosphates. {ECO:0000256|HAMAP-Rule:MF_01227}.	PATHWAY: Pyrimidine metabolism; CTP biosynthesis via de novo pathway; CTP from UDP: step 2/2. {ECO:0000256|HAMAP-Rule:MF_01227}.	ATP-binding;Coiled coil;Complete proteome;Glutamine amidotransferase;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Pyrimidine biosynthesis	Inferred from homology	ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; metal ion binding [GO:0046872]; 'de novo' CTP biosynthetic process [GO:0044210]; glutamine metabolic process [GO:0006541]	CTP synthase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd01746;			IPR029062;IPR004468;IPR017456;IPR017926;IPR033828;IPR027417;	mfi:DSM1535_2078;	K01937;	PF06418;PF00117;		WP_048073437.1;	UPA00159;UER00277	Methanobacterium formicicum	2162
A0A090I912	A0A090I912	nadE BRM9_0116 DSM1535_1439 MB9_0080	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5)	6.3.1.5	FUNCTION: Catalyzes the ATP-dependent amidation of deamido-NAD to form NAD. Uses ammonia as a nitrogen source. {ECO:0000256|HAMAP-Rule:MF_00193}.	PATHWAY: Cofactor biosynthesis; NAD(+) biosynthesis; NAD(+) from deamido-NAD(+) (ammonia route): step 1/1. {ECO:0000256|HAMAP-Rule:MF_00193, ECO:0000256|RuleBase:RU004252}.	ATP-binding;Complete proteome;Ligase;Magnesium;Metal-binding;NAD;Nucleotide-binding	Inferred from homology	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]; NAD+ synthase activity [GO:0008795]; NAD biosynthetic process [GO:0009435]	NAD synthetase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00553;			IPR022310;IPR003694;IPR022926;IPR014729;	mfc:BRM9_0116;mfi:DSM1535_1439;	K01916;	PF02540;		WP_048072945.1;	UPA00253;UER00333	Methanobacterium formicicum	2162
A0A090I1U9	A0A090I1U9	lysN DSM1535_0457	2-aminoadipate transaminase (EC 2.6.1.39)	2.6.1.39			Aminotransferase;Coiled coil;Complete proteome;Transferase	Predicted	2-aminoadipate transaminase activity [GO:0047536]; pyridoxal phosphate binding [GO:0030170]; biosynthetic process [GO:0009058]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR004839;IPR015424;IPR015422;IPR015421;	mfi:DSM1535_0457;	K05825;	PF00155;		WP_048072111.1;		Methanobacterium formicicum	2162
A0A090I2M3	A0A090I2M3	atpA ahaA BRM9_0838 DSM1535_0800 MB9_1890	V-type ATP synthase alpha chain (EC 7.1.2.2) (V-ATPase subunit A)	7.1.2.2	FUNCTION: Produces ATP from ADP in the presence of a proton gradient across the membrane. The archaeal alpha chain is a catalytic subunit. {ECO:0000256|HAMAP-Rule:MF_00309}.		ATP synthesis;ATP-binding;Complete proteome;Hydrogen ion transport;Hydrolase;Ion transport;Nucleotide-binding;Translocase;Transport	Inferred from homology	proton-transporting two-sector ATPase complex, catalytic domain [GO:0033178]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; plasma membrane ATP synthesis coupled proton transport [GO:0042777]	ATPase alpha/beta chains family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR031686;IPR023366;IPR005726;IPR020003;IPR004100;IPR036121;IPR000194;IPR024034;IPR027417;IPR022878;	mfc:BRM9_0838;mfi:DSM1535_0800;	K02117;	PF00006;PF02874;PF16886;		WP_048072402.1;		Methanobacterium formicicum	2162
A0A090I7B8	A0A090I7B8	rps19e BRM9_0709 DSM1535_0661 MB9_1745	30S ribosomal protein S19e		FUNCTION: May be involved in maturation of the 30S ribosomal subunit. {ECO:0000256|HAMAP-Rule:MF_01474}.		Complete proteome;Ribonucleoprotein;Ribosomal protein	Inferred from homology	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Eukaryotic ribosomal protein eS19 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001266;IPR027548;IPR018277;IPR038111;IPR036390;	mfc:BRM9_0709;mfi:DSM1535_0661;	K02966;	PF01090;		WP_048072288.1;		Methanobacterium formicicum	2162
A0A090JW77	A0A090JW77	hisG hisG1 BRM9_0120 DSM1535_1443 MB9_0084	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	2.4.2.17	FUNCTION: Catalyzes the condensation of ATP and 5-phosphoribose 1-diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity. {ECO:0000256|HAMAP-Rule:MF_00079}.	PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 1/9. {ECO:0000256|HAMAP-Rule:MF_00079}.	ATP-binding;Amino-acid biosynthesis;Complete proteome;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Magnesium;Metal-binding;Nucleotide-binding;Transferase	Inferred from homology	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP phosphoribosyltransferase activity [GO:0003879]; magnesium ion binding [GO:0000287]; histidine biosynthetic process [GO:0000105]	ATP phosphoribosyltransferase family, Long subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR013820;IPR018198;IPR001348;IPR020621;IPR013115;IPR011322;IPR015867;	mfc:BRM9_0120;mfi:DSM1535_1443;	K00765;	PF01634;PF08029;		WP_048072949.1;	UPA00031;UER00006	Methanobacterium formicicum	2162
A0A090I5I4	A0A090I5I4	BRM9_1771 DSM1535_2411 MB9_0586	ATP-dependent protease S16 family (Archaeal Lon protease) (EC 3.4.21.-)	3.4.21.-			Complete proteome;Hydrolase;Membrane;Protease;Serine protease;Transmembrane;Transmembrane helix	Inferred from homology	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; serine-type endopeptidase activity [GO:0004252]; protein catabolic process [GO:0030163]	Peptidase S16 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003593;IPR041699;IPR004663;IPR008269;IPR027065;IPR000523;IPR027417;IPR020568;IPR014721;	mfc:BRM9_1771;mfi:DSM1535_2411;	K04076;	PF13654;PF05362;PF01078;		WP_048073711.1;		Methanobacterium formicicum	2162
A0A090I2R9	A0A090I2R9	mvhA DSM1535_0881	F420-non-reducing hydrogenase subunit A (EC 1.12.99.-)	1.12.99.-			Complete proteome;Metal-binding;Nickel;Oxidoreductase	Inferred from homology	ferredoxin hydrogenase activity [GO:0008901]; nickel cation binding [GO:0016151]	[NiFe]/[NiFeSe] hydrogenase large subunit family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001501;IPR018194;IPR029014;	mfi:DSM1535_0881;	K14126;	PF00374;		WP_048072472.1;		Methanobacterium formicicum	2162
A0A090I8U6	A0A090I8U6	argS DSM1535_1348	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	6.1.1.19			ATP-binding;Aminoacyl-tRNA synthetase;Coiled coil;Complete proteome;Cytoplasm;Ligase;Nucleotide-binding;Protein biosynthesis	Inferred from homology	cytoplasm [GO:0005737]; arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; arginyl-tRNA aminoacylation [GO:0006420]	Class-I aminoacyl-tRNA synthetase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00671;			IPR001412;IPR001278;IPR005148;IPR036695;IPR035684;IPR008909;IPR014729;IPR009080;	mfi:DSM1535_1348;	K01887;	PF03485;PF05746;PF00750;		WP_048072867.1;		Methanobacterium formicicum	2162
A0A090I2W9	A0A090I2W9	psmB BRM9_0346 DSM1535_0951 MB9_2037	Proteasome subunit beta (EC 3.4.25.1) (20S proteasome beta subunit) (Proteasome core protein PsmB)	3.4.25.1	FUNCTION: Component of the proteasome core, a large protease complex with broad specificity involved in protein degradation. {ECO:0000256|HAMAP-Rule:MF_02113, ECO:0000256|SAAS:SAAS01167982}.		Autocatalytic cleavage;Complete proteome;Cytoplasm;Hydrolase;Protease;Proteasome;Threonine protease;Zymogen	Inferred from homology	cytoplasm [GO:0005737]; proteasome core complex, beta-subunit complex [GO:0019774]; threonine-type endopeptidase activity [GO:0004298]; proteasomal protein catabolic process [GO:0010498]	Peptidase T1B family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd03764;			IPR029055;IPR019983;IPR000243;IPR016050;IPR001353;IPR023333;	mfc:BRM9_0346;mfi:DSM1535_0951;	K03433;	PF00227;		WP_048072534.1;		Methanobacterium formicicum	2162
A0A090I2G6	A0A090I2G6	mcrA BRM9_0935 DSM1535_0905 MB9_1989	Methyl-coenzyme M reductase subunit alpha (EC 2.8.4.1)	2.8.4.1	FUNCTION: Component of the methyl-coenzyme M reductase (MCR) I that catalyzes the reductive cleavage of methyl-coenzyme M (CoM-S-CH3 or 2-(methylthio)ethanesulfonate) using coenzyme B (CoB or 7-mercaptoheptanoylthreonine phosphate) as reductant which results in the production of methane and the mixed heterodisulfide of CoB and CoM (CoM-S-S-CoB). This is the final step in methanogenesis. {ECO:0000256|PIRNR:PIRNR000262}.	PATHWAY: One-carbon metabolism; methyl-coenzyme M reduction; methane from methyl-coenzyme M: step 1/1. {ECO:0000256|PIRNR:PIRNR000262}.	Complete proteome;Metal-binding;Methanogenesis;Nickel;Transferase	Predicted	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; metal ion binding [GO:0046872]; methanogenesis [GO:0015948]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR016212;IPR008924;IPR009047;IPR003183;IPR015811;IPR015823;IPR009024;	mfc:BRM9_0935;mfi:DSM1535_0905;	K00399;	PF02249;PF02745;		WP_048072491.1;	UPA00646;UER00699	Methanobacterium formicicum	2162
A0A090I503	A0A090I503	mdh DSM1535_0614	Malate dehydrogenase (EC 1.1.1.37)	1.1.1.37			Complete proteome;Oxidoreductase	Inferred from homology	L-malate dehydrogenase activity [GO:0030060]; carbohydrate metabolic process [GO:0005975]; carboxylic acid metabolic process [GO:0019752]	LDH/MDH superfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001557;IPR022383;IPR001236;IPR015955;IPR036291;	mfi:DSM1535_0614;	K00024;	PF02866;PF00056;				Methanobacterium formicicum	2162
A0A090IAN2	A0A090IAN2	DSM1535_2207	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_2207;				WP_048073546.1;		Methanobacterium formicicum	2162
A0A090JYP3	A0A090JYP3	BRM9_1738 DSM1535_2377 MB9_0619	Exosome subunit (Ribosome maturation protein SDO1 homolog)				Complete proteome	Predicted	mature ribosome assembly [GO:0042256]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR035647;IPR018978;IPR018023;IPR019783;IPR036786;IPR002140;IPR039100;IPR037188;	mfc:BRM9_1738;mfi:DSM1535_2377;	K14574;	PF01172;PF09377;		WP_048073682.1;		Methanobacterium formicicum	2162
A0A090I915	A0A090I915	mtaD dadD DSM1535_1444	5'-deoxyadenosine deaminase (5'-dA deaminase) (EC 3.5.4.41) (5'-methylthioadenosine deaminase) (MTA deaminase) (EC 3.5.4.31) (Adenosine deaminase) (EC 3.5.4.4) (S-adenosylhomocysteine deaminase) (SAH deaminase) (EC 3.5.4.28)	3.5.4.41; 3.5.4.31; 3.5.4.4; 3.5.4.28	FUNCTION: Catalyzes the deamination of three SAM-derived enzymatic products, namely 5'-deoxyadenosine, S-adenosyl-L-homocysteine, and 5'-methylthioadenosine, to produce the inosine analogs. Can also deaminate adenosine. The preferred substrate for this enzyme is 5'-deoxyadenosine, but all these substrates are efficiently deaminated. Likely functions in a S-adenosyl-L-methionine (SAM) recycling pathway from S-adenosyl-L-homocysteine (SAH) produced from SAM-dependent methylation reactions. May also be involved in the recycling of 5'-deoxyadenosine, whereupon the 5'-deoxyribose moiety of 5'-deoxyinosine is further metabolized to deoxyhexoses used for the biosynthesis of aromatic amino acids in methanogens. {ECO:0000256|HAMAP-Rule:MF_01281}.	PATHWAY: Amino-acid biosynthesis; S-adenosyl-L-methionine biosynthesis. {ECO:0000256|HAMAP-Rule:MF_01281}.	Complete proteome;Hydrolase;Metal-binding;Zinc	Inferred from homology	5'-deoxyadenosine deaminase activity [GO:0090613]; adenosine deaminase activity [GO:0004000]; metal ion binding [GO:0046872]; S-adenosylhomocysteine deaminase activity [GO:0050270]; S-adenosylmethionine biosynthetic process [GO:0006556]	Metallo-dependent hydrolases superfamily, MTA/SAH deaminase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR006680;IPR023512;IPR011059;IPR032466;	mfi:DSM1535_1444;	K12960;	PF01979;		WP_048072950.1;	UPA00315	Methanobacterium formicicum	2162
A0A090JYG5	A0A090JYG5	DSM1535_2256	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR029464;IPR017035;	mfi:DSM1535_2256;	K07504;	PF13588;		WP_048073588.1;		Methanobacterium formicicum	2162
A0A090IB58	A0A090IB58	carA DSM1535_2436	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	6.3.5.5		PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01209}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3. {ECO:0000256|HAMAP-Rule:MF_01209}.	ATP-binding;Amino-acid biosynthesis;Arginine biosynthesis;Complete proteome;Glutamine amidotransferase;Ligase;Nucleotide-binding;Pyrimidine biosynthesis	Inferred from homology	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; glutamine metabolic process [GO:0006541]	CarA family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd01744;			IPR006274;IPR002474;IPR036480;IPR029062;IPR035686;IPR017926;	mfi:DSM1535_2436;	K01956;	PF00988;PF00117;		WP_048073730.1;	UPA00068;UER00171, UPA00070;UER00115	Methanobacterium formicicum	2162
A0A090JWG4	A0A090JWG4	lig DSM1535_1543 MB9_0193	DNA ligase (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP])	6.5.1.1	FUNCTION: DNA ligase that seals nicks in double-stranded DNA during DNA replication, DNA recombination and DNA repair. {ECO:0000256|HAMAP-Rule:MF_00407}.		ATP-binding;Cell cycle;Cell division;Complete proteome;DNA damage;DNA recombination;DNA repair;DNA replication;Ligase;Magnesium;Metal-binding;Nucleotide-binding	Inferred from homology	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA ligase (ATP) activity [GO:0003910]; metal ion binding [GO:0046872]; cell cycle [GO:0007049]; cell division [GO:0051301]; DNA biosynthetic process [GO:0071897]; DNA ligation involved in DNA repair [GO:0051103]; DNA recombination [GO:0006310]; DNA replication [GO:0006260]	ATP-dependent DNA ligase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR022865;IPR000977;IPR012309;IPR012310;IPR016059;IPR012308;IPR036599;IPR012340;	mfi:DSM1535_1543;	K10747;	PF04679;PF01068;PF04675;				Methanobacterium formicicum	2162
A0A090I2L0	A0A090I2L0	BRM9_0328 DSM1535_0970 MB9_2055	CBS domain-containing protein				CBS domain;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000644;IPR003115;IPR036086;IPR016427;	mfc:BRM9_0328;mfi:DSM1535_0970;		PF00571;PF02195;		WP_048072549.1;		Methanobacterium formicicum	2162
