yourlist:M201907185C475328CEF75220C360D524E9D456CE29FB33D	Entry	Gene names	Protein names	EC number	Function [CC]	Pathway	Keywords	Protein existence	Gene ontology (GO)	Protein families	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)	Cross-reference (BioCyc)	Cross-reference (BRENDA)	Cross-reference (CDD)	Cross-reference (eggNOG)	Ensembl transcript	Cross-reference (InterPro)	Cross-reference (KEGG)	Cross-reference (KO)	Cross-reference (Pfam)	Cross-reference (Reactome)	Cross-reference (RefSeq)	Cross-reference (UniPathway)	Organism	Organism ID
A0A090I7T4	A0A090I7T4	ppsA1 DSM1535_0869	Phosphoenolpyruvate synthase (PEP synthase) (EC 2.7.9.2) (Pyruvate, water dikinase)	2.7.9.2	FUNCTION: Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate. {ECO:0000256|PIRNR:PIRNR000854}.	PATHWAY: Carbohydrate biosynthesis; gluconeogenesis. {ECO:0000256|PIRNR:PIRNR000854}.	ATP-binding;Complete proteome;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Pyruvate;Transferase	Inferred from homology	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; pyruvate, water dikinase activity [GO:0008986]; gluconeogenesis [GO:0006094]; pyruvate metabolic process [GO:0006090]	PEP-utilizing enzyme family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR013815;IPR008279;IPR006319;IPR018274;IPR000121;IPR023151;IPR036637;IPR002192;IPR015813;IPR040442;	mfi:DSM1535_0869;	K01007;	PF00391;PF02896;PF01326;		WP_048072460.1;	UPA00138	Methanobacterium formicicum	2162
A0A090I3J2	A0A090I3J2	DSM1535_1288	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; peptidase activity [GO:0008233]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR039448;IPR006633;IPR007742;IPR022441;IPR006626;IPR012334;IPR011050;IPR005074;IPR018975;	mfi:DSM1535_1288;		PF13229;PF05048;PF03412;PF09373;		WP_048072814.1;		Methanobacterium formicicum	2162
A0A090I3T1	A0A090I3T1	fusA BRM9_2065 DSM1535_1621 MB9_0271	Elongation factor 2 (EF-2)		FUNCTION: Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome. {ECO:0000256|HAMAP-Rule:MF_00054, ECO:0000256|SAAS:SAAS00384500}.		Coiled coil;Complete proteome;Cytoplasm;Elongation factor;GTP-binding;Nucleotide-binding;Protein biosynthesis	Inferred from homology	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-G/EF-2 subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR041095;IPR035647;IPR000640;IPR004161;IPR031157;IPR027417;IPR020568;IPR014721;IPR005225;IPR000795;IPR009000;IPR004543;IPR005517;	mfc:BRM9_2065;mfi:DSM1535_1621;	K03234;	PF00679;PF14492;PF03764;PF00009;PF03144;				Methanobacterium formicicum	2162
A0A090I4W3	A0A090I4W3	vhcA mvhA1 BRM9_0563 DSM1535_0544 MB9_1601	F420-non-reducing hydrogenase vhc subunit A (EC 1.12.99.-) (Methyl viologen-reducing hydrogenase alpha subunit MvhA1)	1.12.99.-			Complete proteome;Metal-binding;Nickel;Oxidoreductase	Inferred from homology	ferredoxin hydrogenase activity [GO:0008901]; nickel cation binding [GO:0016151]	[NiFe]/[NiFeSe] hydrogenase large subunit family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001501;IPR018194;IPR029014;	mfc:BRM9_0563;mfi:DSM1535_0544;	K14126;	PF00374;		WP_048072183.1;		Methanobacterium formicicum	2162
A0A090I9A6	A0A090I9A6	hcp BRM9_2110 DSM1535_1570 MB9_0220	Hydroxylamine reductase (EC 1.7.99.1) (Hybrid-cluster protein) (HCP) (Prismane protein)	1.7.99.1	FUNCTION: Catalyzes the reduction of hydroxylamine to form NH(3) and H(2)O. {ECO:0000256|HAMAP-Rule:MF_00069}.		4Fe-4S;Complete proteome;Cytoplasm;Iron;Iron-sulfur;Metal-binding;Oxidoreductase	Inferred from homology	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; hydroxylamine reductase activity [GO:0050418]; metal ion binding [GO:0046872]	HCP family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd01914;			IPR004137;IPR010048;IPR016099;IPR011254;IPR016100;	mfc:BRM9_2110;mfi:DSM1535_1570;	K05601;	PF03063;		WP_048073038.1;		Methanobacterium formicicum	2162
A0A0S4FR78	A0A0S4FR78	atpB MB9_1891	V-type ATP synthase beta chain (V-ATPase subunit B)		FUNCTION: Produces ATP from ADP in the presence of a proton gradient across the membrane. The archaeal beta chain is a regulatory subunit. {ECO:0000256|HAMAP-Rule:MF_00310}.		ATP synthesis;Complete proteome;Hydrogen ion transport;Ion transport;Transport	Inferred from homology	proton-transporting two-sector ATPase complex, catalytic domain [GO:0033178]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; plasma membrane ATP synthesis coupled proton transport [GO:0042777]	ATPase alpha/beta chains family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR020003;IPR005724;IPR004100;IPR036121;IPR000194;IPR027417;IPR022879;			PF00006;PF02874;		WP_060538009.1;		Methanobacterium formicicum	2162
A0A089ZDH4	A0A089ZDH4	tuf BRM9_2064 DSM1535_1622 MB9_0272	Elongation factor 1-alpha (EF-1-alpha) (Elongation factor Tu) (EF-Tu)		FUNCTION: This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis. {ECO:0000256|HAMAP-Rule:MF_00118, ECO:0000256|SAAS:SAAS00384806}.		Complete proteome;Cytoplasm;Elongation factor;GTP-binding;Nucleotide-binding;Protein biosynthesis	Inferred from homology	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-Tu/EF-1A subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR004161;IPR031157;IPR027417;IPR005225;IPR000795;IPR009000;IPR009001;IPR004539;IPR004160;	mfc:BRM9_2064;mfi:DSM1535_1622;	K03231;	PF00009;PF03144;PF03143;		WP_048073082.1;		Methanobacterium formicicum	2162
A0A090I3G7	A0A090I3G7	hdrA hdrA2 BRM9_2298 DSM1535_1232 MB9_2336	CoB--CoM heterodisulfide reductase subunit A HdrA2 (CoB-CoM heterodisulfide reductase iron-sulfur subunit A) (EC 1.8.98.1)	1.8.98.1			Complete proteome;Oxidoreductase	Predicted	CoB--CoM heterodisulfide reductase activity [GO:0051912]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR017896;IPR017900;IPR036188;IPR023753;IPR039650;	mfc:BRM9_2298;mfi:DSM1535_1232;	K03388;	PF00037;PF13187;PF07992;		WP_048072766.1;		Methanobacterium formicicum	2162
A0A090I8W8	A0A090I8W8	fae-hps BRM9_0060 DSM1535_1378 MB9_0021	Bifunctional enzyme Fae/Hps [Includes: 5,6,7,8-tetrahydromethanopterin hydro-lyase (EC 4.2.1.147) (Formaldehyde-activating enzyme) (Fae); 3-hexulose-6-phosphate synthase (HPS) (EC 4.1.2.43) (D-arabino-3-hexulose-6-phosphate formaldehyde lyase)]	4.2.1.147; 4.1.2.43	FUNCTION: Catalyzes the condensation of formaldehyde with tetrahydromethanopterin (H(4)MPT) to 5,10-methylenetetrahydromethanopterin. {ECO:0000256|HAMAP-Rule:MF_01268}.; FUNCTION: Catalyzes the reversible formation of ribulose-5-phosphate and formaldehyde from 3-hexulose-6-phosphate. {ECO:0000256|HAMAP-Rule:MF_01268}.	PATHWAY: Carbohydrate biosynthesis; D-ribose 5-phosphate biosynthesis. {ECO:0000256|HAMAP-Rule:MF_01268}.	Carbohydrate metabolism;Complete proteome;Lyase;Multifunctional enzyme	Inferred from homology	carbon-nitrogen lyase activity [GO:0016840]; hexulose-6-phosphate synthase activity [GO:0043801]; hydro-lyase activity [GO:0016836]; orotidine-5'-phosphate decarboxylase activity [GO:0004590]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; carbohydrate biosynthetic process [GO:0016051]	HPS/KGPDC family, HPS subfamily; Formaldehyde-activating enzyme family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd04726;			IPR013785;IPR020868;IPR014826;IPR037075;IPR041710;IPR001754;IPR020568;IPR011060;	mfc:BRM9_0060;mfi:DSM1535_1378;	K13812;	PF08714;PF00215;		WP_048072894.1;	UPA00293	Methanobacterium formicicum	2162
A0A090I7U6	A0A090I7U6	DSM1535_2001	GDP-mannose 4,6-dehydratase (EC 4.2.1.47)	4.2.1.47			Complete proteome;Lyase	Predicted	GDP-mannose 4,6-dehydratase activity [GO:0008446]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR016040;IPR036291;	mfi:DSM1535_2001;	K01711;	PF16363;		WP_048073376.1;		Methanobacterium formicicum	2162
A0A090IA40	A0A090IA40	thsA BRM9_1260 DSM1535_1943 MB9_1054	Thermosome subunit (Thermosome subunit alpha)				ATP-binding;Chaperone;Complete proteome;Nucleotide-binding	Inferred from homology	ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]	TCP-1 chaperonin family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd03343;			IPR017998;IPR002194;IPR002423;IPR027409;IPR027413;IPR027410;IPR012714;	mfc:BRM9_1260;mfi:DSM1535_1943;	K22447;	PF00118;				Methanobacterium formicicum	2162
A0A090I4G9	A0A090I4G9	DSM1535_1784	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR038765;IPR002477;IPR036365;IPR036366;IPR002931;	mfi:DSM1535_1784;		PF01471;PF01841;		WP_048073207.1;		Methanobacterium formicicum	2162
A0A090I5H3	A0A090I5H3	mch BRM9_1751 DSM1535_2390 MB9_0606	Methenyltetrahydromethanopterin cyclohydrolase (EC 3.5.4.27) (Methenyl-H4MPT cyclohydrolase)	3.5.4.27	FUNCTION: Catalyzes the reversible interconversion of 5-formyl-H(4)MPT to methenyl-H(4)MPT(+). {ECO:0000256|HAMAP-Rule:MF_00486}.	PATHWAY: One-carbon metabolism; methanogenesis from CO(2); 5,10-methenyl-5,6,7,8-tetrahydromethanopterin from CO(2): step 3/3. {ECO:0000256|HAMAP-Rule:MF_00486}.	Complete proteome;Cytoplasm;Hydrolase;Methanogenesis;One-carbon metabolism	Inferred from homology	cytoplasm [GO:0005737]; methenyltetrahydromethanopterin cyclohydrolase activity [GO:0018759]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]	MCH family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00545;			IPR003209;	mfc:BRM9_1751;mfi:DSM1535_2390;	K01499;	PF02289;		WP_048073694.1;	UPA00640;UER00694	Methanobacterium formicicum	2162
A0A090JVC3	A0A090JVC3	mrtA DSM1535_1095	Methyl-coenzyme M reductase subunit alpha (EC 2.8.4.1)	2.8.4.1	FUNCTION: Component of the methyl-coenzyme M reductase (MCR) I that catalyzes the reductive cleavage of methyl-coenzyme M (CoM-S-CH3 or 2-(methylthio)ethanesulfonate) using coenzyme B (CoB or 7-mercaptoheptanoylthreonine phosphate) as reductant which results in the production of methane and the mixed heterodisulfide of CoB and CoM (CoM-S-S-CoB). This is the final step in methanogenesis. {ECO:0000256|PIRNR:PIRNR000262}.	PATHWAY: One-carbon metabolism; methyl-coenzyme M reduction; methane from methyl-coenzyme M: step 1/1. {ECO:0000256|PIRNR:PIRNR000262}.	Complete proteome;Metal-binding;Methanogenesis;Nickel;Transferase	Predicted	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; metal ion binding [GO:0046872]; methanogenesis [GO:0015948]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR016212;IPR008924;IPR009047;IPR003183;IPR015811;IPR015823;IPR009024;	mfi:DSM1535_1095;	K00399;	PF02249;PF02745;		WP_048072649.1;	UPA00646;UER00699	Methanobacterium formicicum	2162
A0A090I2L6	A0A090I2L6	serA3 DSM1535_0785	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	1.1.1.95		PATHWAY: Amino-acid biosynthesis; L-serine biosynthesis; L-serine from 3-phospho-D-glycerate: step 1/3. {ECO:0000256|RuleBase:RU363003}.	Amino-acid biosynthesis;Complete proteome;NAD;Oxidoreductase;Serine biosynthesis	Inferred from homology	NAD binding [GO:0051287]; phosphoglycerate dehydrogenase activity [GO:0004617]; L-serine biosynthetic process [GO:0006564]	D-isomer specific 2-hydroxyacid dehydrogenase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002912;IPR029009;IPR006139;IPR029753;IPR029752;IPR006140;IPR036291;IPR006236;	mfi:DSM1535_0785;	K00058;	PF00389;PF02826;PF01842;			UPA00135;UER00196	Methanobacterium formicicum	2162
A0A090I6W9	A0A090I6W9	DSM1535_1588	Cell shape determining protein MreB/Mrl				Complete proteome	Predicted	cell morphogenesis [GO:0000902]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd10225;			IPR004753;	mfi:DSM1535_1588;	K03569;	PF06723;		WP_048073053.1;		Methanobacterium formicicum	2162
A0A090JTE7	A0A090JTE7	rps3 rps3p BRM9_0401 DSM1535_0328 MB9_1437	30S ribosomal protein S3		FUNCTION: Binds the lower part of the 30S subunit head. {ECO:0000256|HAMAP-Rule:MF_01309}.		Complete proteome;RNA-binding;Ribonucleoprotein;Ribosomal protein;rRNA-binding	Inferred from homology	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Universal ribosomal protein uS3 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR004087;IPR015946;IPR004044;IPR009019;IPR027488;IPR001351;IPR036419;IPR005703;	mfc:BRM9_0401;mfi:DSM1535_0328;	K02982;	PF07650;PF00189;		WP_048072000.1;		Methanobacterium formicicum	2162
A0A090I1H9	A0A090I1H9	rps4e BRM9_0394 DSM1535_0321 MB9_1430	30S ribosomal protein S4e				Complete proteome;RNA-binding;Ribonucleoprotein;Ribosomal protein;rRNA-binding	Inferred from homology	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Eukaryotic ribosomal protein eS4 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd06087;cd00165;			IPR041982;IPR014722;IPR000876;IPR013845;IPR038237;IPR013843;IPR018199;IPR002942;	mfc:BRM9_0394;mfi:DSM1535_0321;	K02987;	PF00900;PF08071;PF01479;		WP_048071994.1;		Methanobacterium formicicum	2162
A0A090I8V8	A0A090I8V8	mtd DSM1535_1363	F420-dependent methylenetetrahydromethanopterin dehydrogenase (MTD) (EC 1.5.98.1) (Coenzyme F420-dependent N5,N10-methylenetetrahydromethanopterin dehydrogenase)	1.5.98.1	FUNCTION: Catalyzes the reversible reduction of methenyl-H(4)MPT(+) to methylene-H(4)MPT. {ECO:0000256|HAMAP-Rule:MF_00058}.	PATHWAY: One-carbon metabolism; methanogenesis from CO(2); 5,10-methylene-5,6,7,8-tetrahydromethanopterin from 5,10-methenyl-5,6,7,8-tetrahydromethanopterin (coenzyme F420 route): step 1/1. {ECO:0000256|HAMAP-Rule:MF_00058}.	Complete proteome;Methanogenesis;One-carbon metabolism;Oxidoreductase	Inferred from homology	ferredoxin hydrogenase activity [GO:0008901]; methylenetetrahydromethanopterin dehydrogenase activity [GO:0030268]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]	MTD family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002844;IPR036080;	mfi:DSM1535_1363;	K00319;	PF01993;		WP_048072879.1;	UPA00640;UER00695	Methanobacterium formicicum	2162
